ID,N,10,0	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
1	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
2	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
3	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Moha (anual)	Moha (anual)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)
4	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
5	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)
6	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
7	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)
8	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
9	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)
10	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
11	Avena Pastoreo (anual)	Avena Pastoreo (anual)	Avena Pastoreo (anual)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)
12	Sorgo Forrajero (anual)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)
13	Sorgo Forrajero (anual)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)
14	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Moha (anual)	Moha (anual)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (2° año)	Achicoria (2° año)
15	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
16	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)
17	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
18	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)
19	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
20	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
21	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
22	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
23	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
24	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)
25	Sorgo Forrajero (anual)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)
26	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
27	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)
28	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
29	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
30	Sorgo Forrajero (anual)	Maiz (anual)	Maiz (anual)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Alfalfa (1° año)	Alfalfa (1° año)
31	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
32	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)
33	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Avena+Raigrás Temp (anual)	Avena+Raigrás Temp (anual)	Avena+Raigrás Temp (anual)	Maiz (anual)
34	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)
35	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (2° año)	Achicoria (2° año)	Achicoria (2° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+Cebadilla (1° año)
36	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
37	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
38	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)
39	Maiz (anual)	Maiz (anual)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	FE+TB+L (1° año)	FE+TB+L (1° año)
40	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
41	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)
42	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
43	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)
44	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
45	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
46	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
47	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)
48	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
49	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
50	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
51	Sorgo Forrajero (anual)	Maiz (anual)	Maiz (anual)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)
52	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
53	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)
54	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
55	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (1° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)
56	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
57	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)
58	Avena Pastoreo (anual)	Avena Pastoreo (anual)	Avena Pastoreo (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)
59	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)
60	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
61	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (2° año)	Achicoria (2° año)	Achicoria (2° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Lotus Puro (1° año)
62	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	FE+TB+L (1° año)	FE+TB+L (1° año)
63	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
64	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Maiz (anual)
65	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
66	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	Alfalfa (4° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Avena Pastoreo (anual)	Avena Pastoreo (anual)	Avena Pastoreo (anual)	FE+TB+L (1° año)
67	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
68	Sorgo Forrajero (anual)	Maiz (anual)	Maiz (anual)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)
69	Sorgo Forrajero (anual)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)
70	Sorgo Forrajero (anual)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Lotus Puro (3° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)
71	Sorgo Forrajero (anual)	Moha (anual)	Moha (anual)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Avena+Raigrás Temp (anual)
72	Moha (anual)	Moha (anual)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	FE+TB+L (1° año)	FE+TB+L (1° año)
73	Sorgo Forrajero (anual)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)
74	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (1° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (2° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)	Raigrás+TB+L (3° año)
75	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (1° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (2° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (3° año)	Alfalfa (4° año)
76	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+TB+Raigrás (2° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)
77	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (2° año)	Achicoria (2° año)	Achicoria (2° año)	Moha (anual)	Moha (anual)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)
78	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
79	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (2° año)	Achicoria (2° año)	Achicoria (2° año)	Moha (anual)
80	Avena+Raigrás Temp (anual)	Avena+Raigrás Temp (anual)	Avena+Raigrás Temp (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	Sorgo Forrajero (anual)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)
81	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
82	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
83	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Moha (anual)	Moha (anual)	Alfalfa (1° año)	Alfalfa (1° año)
84	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
85	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (1° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)	Lotus Puro (2° año)
86	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)
